Stock,Date,Party,Category,Txntype,Quantity,Value traded,Avgtradeprice
Godrej Properties Ltd,3/28/2019,SGC Family Trust,Insider - Promoter Group,Buy,1,868,868.00
HDFC Bank Ltd,12/24/2018,prajith Chandrasekhar,Insider - Designated Person,Sell,24,"46,800","1,950.00"
V Guard Industries Ltd,8/3/2020,T B SRIKKANTH,Insider - Designated Person,Buy,2,333,166.50
Orient Electric Ltd,3/29/2023,RAKESH KHANNA,Insider - Director,Sell,1,274,274.00
HDFC Life Insurance Company Ltd,12/2/2022,PANKAJ GUPTA,Insider - Designated Person,Sell,10,"5,910",591.00
Brigade Enterprises Ltd,7/16/2021,HEMAVATHI V,Insider - Employee,Buy,1,345,345.00
Brigade Enterprises Ltd,8/20/2021,HEMAVATHI V,Insider - Employee,Sell,1,319,319.00
Brigade Enterprises Ltd,7/20/2021,HEMAVATHI V,Insider - Employee,Sell,1,318,318.00
HDFC Asset Management Company Ltd,9/4/2018,RAJBIR SINGH,Insider - Employee,Sell,1,"1,759","1,759.00"
Housing Development Finance Corporation Ltd,11/28/2018,SATISH BARAGI DEVANNA,Insider - Employee,Sell,8,"15,416","1,927.00"
Housing Development Finance Corporation Ltd,3/13/2019,SASHANK DRONADULA,Insider - Employee,Sell,8,"14,944","1,868.00"
HDFC Bank Ltd,9/18/2017,Jignesh Jayantilal Doshi,Insider - Employee,Sell,25,"42,000","1,680.00"
HDFC Bank Ltd,9/20/2017,Jignesh Jayantilal Doshi,Insider - Employee,Sell,25,"42,000","1,680.00"
HDFC Bank Ltd,9/21/2017,Shaji Balakrishnan,Insider - Employee,Sell,25,"45,172","1,806.88"
HDFC Bank Ltd,3/15/2017,Jignesh Jayantilal Doshi,Insider - Employee,Sell,25,"35,000","1,400.00"
Larsen & Toubro Ltd,9/12/2022,PRATIMA MEHTA,Insider - Immediate Relative,Sell,7,"13,720","1,960.00"
Ujaas Energy Ltd,2/2/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,5,5.90
Ujaas Energy Ltd,6/9/2021,GUNDLAPALLI SHOWRAIAH BABU,Bulk,Buy,1,3,3.45
Indusind Bank Ltd,6/8/2017,M.K Madhavan,Insider - Employee,Sell,3,"4,590","1,530.00"
Housing Development Finance Corporation Ltd,2/7/2017,Saurav,Insider - Employee,Sell,8,"11,264","1,408.00"
Vikas Ecotech Ltd,7/20/2021,TOPGAIN FINANCE PRIVATE LIMITED,Bulk,Buy,2,3,1.97
Godrej Agrovet Ltd,9/30/2019,JNG Family Trust,Insider - Promoter Group,Buy,1,474,474.00
Godrej Agrovet Ltd,9/30/2019,PJG Family Trust,Insider - Promoter Group,Buy,1,474,474.00
Godrej Agrovet Ltd,9/30/2019,RJG Family Trust,Insider - Promoter Group,Buy,1,474,474.00
Godrej Agrovet Ltd,9/30/2019,BNG Successor Trust,Insider - Promoter Group,Buy,1,476,476.00
Godrej Agrovet Ltd,9/30/2019,PG Lineage Trust,Insider - Promoter Group,Buy,1,476,476.00
Godrej Agrovet Ltd,9/30/2019,NBG Family Trust,Insider - Promoter Group,Buy,1,476,476.00
Godrej Agrovet Ltd,9/30/2019,SNG Successor Trust,Insider - Promoter Group,Buy,1,476,476.00
Godrej Agrovet Ltd,9/30/2019,RNG Family Trust,Insider - Promoter Group,Buy,1,476,476.00
Godrej Agrovet Ltd,9/30/2019,SNG Lineage Trust,Insider - Promoter Group,Buy,1,476,476.00
Godrej Agrovet Ltd,9/30/2019,NG Children Trust,Insider - Promoter Group,Buy,1,476,476.00
Godrej Agrovet Ltd,9/30/2019,ABG Family Trust,Insider - Promoter Group,Buy,1,476,476.00
Godrej Agrovet Ltd,9/30/2019,NVC Children Trust,Insider - Promoter Group,Buy,1,474,474.00
Godrej Agrovet Ltd,9/30/2019,TAD Children Trust,Insider - Promoter Group,Buy,1,476,476.00
Godrej Agrovet Ltd,9/30/2019,PG Children Trust,Insider - Promoter Group,Buy,1,476,476.00
Godrej Agrovet Ltd,9/30/2019,NJG Family Trust,Insider - Promoter Group,Buy,1,474,474.00
Godrej Agrovet Ltd,9/30/2019,VMC Family Trust,Insider - Promoter Group,Buy,1,474,474.00
Godrej Agrovet Ltd,9/30/2019,BNG Lineage Trust,Insider - Promoter Group,Buy,1,476,476.00
Godrej Agrovet Ltd,9/30/2019,FVC Children Trust,Insider - Promoter Group,Buy,1,474,474.00
Godrej Agrovet Ltd,9/30/2019,SGC Family Trust,Insider - Promoter Group,Buy,1,474,474.00
Yes Bank Ltd,10/8/2018,Gautam Jain,Insider - Employee,Buy,12,"2,652",221.00
Axis Bank Ltd,6/15/2023,MORGAN STANLEY INVESTMENT FUNDS COUNTERPOINT GLOBAL FUND,Block,Buy,16,"15,488",968.00
HCL Technologies Ltd,7/4/2017,C Ranganayaki,Insider - Immediate Relative,Sell,15,"15,000","1,000.00"
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,20,"53,320","2,666.00"
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,20,"53,087","2,654.35"
Mphasis Ltd,9/14/2020,Kathryn Airth Terry,Insider - Designated Person,Sell,1,"1,188","1,188.00"
Indus Towers Ltd,10/12/2017,Ravinder Hooda,Insider - Employee,Sell,10,"4,188",418.80
Infosys Ltd,3/13/2019,Andrew Groth,Insider - Designated Person,Sell,24,"17,778",740.75
Housing Development Finance Corporation Ltd,1/12/2022,ANITHA RAMABHADRAN,Insider - Immediate Relative,Buy,10,"27,375","2,737.50"
Housing Development Finance Corporation Ltd,12/6/2017,Hari Shankar Prasad,Insider - Employee,Sell,9,"14,837","1,648.56"
Larsen & Toubro Ltd,9/8/2022,PRATIMA MEHTA,Insider - Immediate Relative,Sell,8,"15,704","1,963.00"
Prakash Steelage Ltd,8/1/2012,HARIDARSHAN SALES PVT LTD,Bulk,Buy,1,155,155.45
HDFC Bank Ltd,2/14/2019,Prajith Chandrasekhar,Insider - Employee,Sell,30,"58,500","1,950.00"
Axis Bank Ltd,6/15/2023,MORGAN STANLEY INVESTMENT FUNDS COUNTERPOINT GLOBAL FUND,Block,Buy,18,"17,424",968.00
HDFC Life Insurance Company Ltd,11/1/2021,DHAVALRAI TRIVEDI,Insider - Immediate Relative,Buy,12,"8,275",689.58
Suncare Traders Ltd,5/19/2021,ALKA RAWAT,Bulk,Sell,1,0,0.60
PNB Housing Finance Ltd,6/2/2021,DIPPIKA A SHARMA,Insider - Designated Person,Sell,1,670,670.00
Mahindra and Mahindra Financial Services Ltd,3/25/2019,Suresh Shanmugam,Insider - Designated Person,Sell,6,"2,479",413.17
Housing Development Finance Corporation Ltd,5/24/2018,SUDIPTO KUMAR DAS,Insider - Employee,Sell,10,"18,031","1,803.10"
Housing Development Finance Corporation Ltd,5/15/2018,DEEPAK B,Insider - Employee,Sell,10,"19,368","1,936.80"
Housing Development Finance Corporation Ltd,5/15/2018,DEEPAK B,Insider - Employee,Sell,10,"19,400","1,940.00"
Housing Development Finance Corporation Ltd,6/26/2018,NEHA TRIPATHI,Insider - Employee,Sell,10,"19,152","1,915.20"
Housing Development Finance Corporation Ltd,11/5/2018,SANDEEP SATSANGI,Insider - Employee,Sell,10,"17,794","1,779.40"
Housing Development Finance Corporation Ltd,11/27/2018,ADITI AGARWAL,Insider - Employee,Sell,10,"19,020","1,902.00"
Housing Development Finance Corporation Ltd,11/26/2018,GOWTAM KANNURI,Insider - Employee,Sell,10,"18,850","1,885.00"
Housing Development Finance Corporation Ltd,11/28/2018,GOWTAM KANNURI,Insider - Employee,Sell,10,"19,160","1,916.00"
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,10,"19,692","1,969.20"
Housing Development Finance Corporation Ltd,11/27/2018,ADITI GUPTA,Insider - Employee,Sell,10,"19,250","1,925.00"
Housing Development Finance Corporation Ltd,11/12/2018,SANJIV KUMAR SINHA,Insider - Employee,Sell,10,"17,901","1,790.10"
Housing Development Finance Corporation Ltd,11/28/2018,GOWTAM KANNURI,Insider - Employee,Sell,10,"19,220","1,922.00"
Housing Development Finance Corporation Ltd,3/13/2019,SHYAM KUMAR V,Insider - Employee,Sell,10,"19,550","1,955.00"
Housing Development Finance Corporation Ltd,11/16/2018,SOMA SUNDAR B T,Insider - Employee,Sell,10,"18,890","1,889.00"
Housing Development Finance Corporation Ltd,11/19/2018,SOMA SUNDAR B T,Insider - Employee,Sell,10,"19,050","1,905.00"
Housing Development Finance Corporation Ltd,6/22/2018,DEEPAK B,Insider - Employee,Sell,10,"18,750","1,875.00"
Housing Development Finance Corporation Ltd,11/29/2018,ROHIT HARISHCHANDRA PATIL,Insider - Employee,Sell,10,"19,650","1,965.00"
Housing Development Finance Corporation Ltd,5/3/2018,SUHANI UPADHYAY,Insider - Immediate Relative,Buy,10,"19,249","1,924.90"
Housing Development Finance Corporation Ltd,11/6/2018,DEEPANKAR JOSHI,Insider - Employee,Sell,10,"18,106","1,810.60"
Housing Development Finance Corporation Ltd,11/28/2018,GOWTAM KANNURI,Insider - Employee,Sell,10,"19,050","1,905.00"
Housing Development Finance Corporation Ltd,5/28/2018,PRASANNA K C,Insider - Employee,Sell,10,"18,300","1,830.00"
Housing Development Finance Corporation Ltd,11/13/2018,ABHINAV MEHRA,Insider - Employee,Sell,10,"18,200","1,820.00"
Housing Development Finance Corporation Ltd,11/21/2018,ADITI AGARWAL,Insider - Employee,Sell,10,"18,840","1,884.00"
Housing Development Finance Corporation Ltd,11/28/2018,GOWTAM KANNURI,Insider - Employee,Sell,10,"19,300","1,930.00"
Housing Development Finance Corporation Ltd,3/11/2019,JITENDRA SAI KOMMINENI,Insider - Employee,Sell,10,"18,970","1,897.00"
Housing Development Finance Corporation Ltd,5/8/2018,SUJIR UDAYANAND,Insider - Designated Person,Sell,10,"19,006","1,900.60"
Housing Development Finance Corporation Ltd,7/4/2018,MANECK MADHOK,Insider - Immediate Relative,Sell,10,"19,080","1,908.00"
Housing Development Finance Corporation Ltd,5/14/2018,DEEPAK B,Insider - Employee,Sell,10,"19,230","1,923.00"
Housing Development Finance Corporation Ltd,5/14/2018,DEEPAK B,Insider - Employee,Sell,10,"19,350","1,935.00"
Housing Development Finance Corporation Ltd,6/21/2018,DEEPAK B,Insider - Employee,Sell,10,"18,750","1,875.00"
HDFC Bank Ltd,12/29/2015,Suraj Rangnekar,Insider - Employee,Sell,30,"31,500","1,050.00"
Johnson Pharmacare Ltd,1/24/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,3,3,1.28
Bajaj Finance Ltd,3/9/2016,Ratikanta Satapathy,Insider - Designated Person,Sell,3,"18,735","6,245.00"
Biogen Pharmachem Industries Ltd,6/17/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,1,0.34
ITC Ltd,8/12/2016,Arindam Mukherjee,Insider - Employee,Buy,75,4.99 L,"6,652.00"
ITC Ltd,9/1/2016,Arindam Mukherjee,Insider - Employee,Sell,75,7.71 L,"10,282.23"
Religare Enterprises Ltd,6/21/2023,Pawan Seth,Insider - Employee,Sell,2,350,175.00
Housing Development Finance Corporation Ltd,3/9/2018,ADITI DONGARE,Insider - Employee,Sell,10,"18,181","1,818.10"
Housing Development Finance Corporation Ltd,2/21/2018,Deepak B,Insider - Employee,Sell,10,"18,250","1,825.00"
Housing Development Finance Corporation Ltd,6/12/2017,Bhatt Devi Prasad,Insider - Employee,Sell,10,"16,510","1,651.00"
Housing Development Finance Corporation Ltd,3/9/2018,ADITI DONGARE,Insider - Employee,Sell,10,"18,250","1,825.00"
Housing Development Finance Corporation Ltd,8/3/2017,Bhumika Mahendru,Insider - Employee,Sell,10,"17,425","1,742.50"
Housing Development Finance Corporation Ltd,8/23/2017,Deepak B,Insider - Employee,Sell,10,"17,620","1,762.00"
Housing Development Finance Corporation Ltd,2/9/2018,Sivakumar T,Insider - Employee,Sell,10,"17,666","1,766.60"
Housing Development Finance Corporation Ltd,3/6/2018,ADITI DONGARE,Insider - Employee,Sell,10,"18,150","1,815.00"
Housing Development Finance Corporation Ltd,2/19/2018,SIVAKUMAR T,Insider - Employee,Sell,10,"18,165","1,816.50"
Housing Development Finance Corporation Ltd,2/27/2018,VENKATARAMANI M,Insider - Employee,Sell,10,"18,320","1,832.00"
Housing Development Finance Corporation Ltd,3/8/2018,ADITI DONGARE,Insider - Employee,Sell,10,"17,900","1,790.00"
Housing Development Finance Corporation Ltd,12/11/2017,SANJIV KUMAR SINHA,Insider - Employee,Sell,10,"17,000","1,700.00"
Housing Development Finance Corporation Ltd,11/23/2017,KAVITHA MAHESH PATKI,Insider - Employee,Sell,10,"17,150","1,715.00"
Housing Development Finance Corporation Ltd,3/27/2018,Deepak B,Insider - Employee,Sell,10,"18,400","1,840.00"
Housing Development Finance Corporation Ltd,6/12/2017,Patel Ghanshyam J,Insider - Employee,Sell,10,"16,425","1,642.50"
Housing Development Finance Corporation Ltd,3/8/2018,ADITI DONGARE,Insider - Employee,Sell,10,"18,017","1,801.70"
Housing Development Finance Corporation Ltd,3/26/2018,Bhosale Rohit Ramesh,Insider - Employee,Sell,10,"17,836","1,783.60"
Housing Development Finance Corporation Ltd,3/13/2018,JITENDRA SAI KOMMINENI,Insider - Employee,Sell,10,"18,660","1,866.00"
Housing Development Finance Corporation Ltd,9/8/2017,Bhavik Dilipbhai Daxini,Insider - Employee,Sell,10,"17,888","1,788.80"
Housing Development Finance Corporation Ltd,3/9/2018,ADITI DONGARE,Insider - Employee,Sell,10,"18,189","1,818.90"
Housing Development Finance Corporation Ltd,3/21/2018,Deepak B,Insider - Employee,Sell,10,"18,250","1,825.00"
Alka India Ltd,1/4/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,13,3.47
Housing Development Finance Corporation Ltd,9/29/2016,Senthil Kumar G,Insider - Employee,Sell,10,"13,831","1,383.10"
Housing Development Finance Corporation Ltd,2/9/2017,Vimmi Batra,Insider - Employee,Sell,10,"14,160","1,416.00"
Housing Development Finance Corporation Ltd,6/21/2016,Anubhab Maitra,Insider - Designated Person,Sell,10,"12,386","1,238.60"
Housing Development Finance Corporation Ltd,2/15/2017,Deepak B,Insider - Employee,Sell,10,"14,000","1,400.00"
Housing Development Finance Corporation Ltd,3/15/2017,Sudha V,Insider - Employee,Sell,10,"14,236","1,423.60"
Housing Development Finance Corporation Ltd,3/15/2017,Aneesh R L,Insider - Employee,Sell,10,"14,350","1,435.00"
Housing Development Finance Corporation Ltd,8/31/2016,Gajananprasad Ratnakar Anekar,Insider - Employee,Sell,10,"14,091","1,409.10"
Housing Development Finance Corporation Ltd,12/12/2016,Vedant Girdhari Lal Bhandari,Insider - Employee,Sell,10,"12,758","1,275.80"
Housing Development Finance Corporation Ltd,3/21/2017,Deepak B,Insider - Employee,Sell,10,"14,670","1,467.00"
Housing Development Finance Corporation Ltd,3/28/2017,Deepak B,Insider - Employee,Sell,10,"14,950","1,495.00"
Housing Development Finance Corporation Ltd,12/7/2016,SHAH MAHESH H,Insider - Employee,Sell,10,"12,790","1,279.00"
Housing Development Finance Corporation Ltd,2/9/2017,Ameet Ravindranath Vedpathak,Insider - Employee,Sell,10,"14,030","1,403.00"
Housing Development Finance Corporation Ltd,3/15/2017,Nayak Lata K,Insider - Employee,Sell,10,"14,350","1,435.00"
Housing Development Finance Corporation Ltd,2/17/2017,P Vijayan Xavier,Insider - Employee,Sell,10,"14,210","1,421.00"
Tata Consultancy Services Ltd,1/24/2018,Nitya Jain,Insider - Designated Person,Sell,25,"80,707","3,228.28"
Tata Consultancy Services Ltd,1/29/2018,Rohit Kumar Jain,Insider - Immediate Relative,Sell,25,"80,475","3,219.00"
Housing Development Finance Corporation Ltd,3/10/2016,Chandra Anurag,Insider - Designated Person,Sell,10,"11,550","1,155.00"
Mahindra and Mahindra Ltd,12/27/2018,Kinnar Rathod,Insider - Employee,Buy,7,"5,566",795.14
Antarctica Ltd,8/29/2023,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,Bulk,Buy,1,1,1.00
Sturdy Industries Ltd,1/4/2023,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,Bulk,Buy,1,0,0.67
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,4,"5,959","1,489.75"
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,4,"5,961","1,490.25"
ITC Ltd,5/11/2018,KAUSHIK MUKHERJEE,Insider - Employee,Sell,83,"23,514",283.30
Max Ventures and Industries Ltd,8/18/2020,Atul Lall,Insider - Employees Immediate Relative,Buy,1,38,38.00
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,2,"1,371",685.50
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,2,"1,374",687.00
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,2,"1,380",690.00
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,2,"1,407",703.50
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,2,"1,372",686.00
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,2,"1,370",685.00
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,2,"1,377",688.50
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,2,"1,379",689.50
Tata Consultancy Services Ltd,5/22/2020,Sukanya Lakshminarayanan,Insider - Designated Person,Buy,26,"51,604","1,984.77"
Housing Development Finance Corporation Ltd,3/27/2017,Kartik Radhakrishnan,Insider - Employee,Sell,11,"16,036","1,457.82"
Housing Development Finance Corporation Ltd,3/28/2017,Abhimanyu Kukreja,Insider - Employee,Sell,11,"16,557","1,505.18"
AU Small Finance Bank Ltd,12/7/2018,Kamaljeet Singh,Insider - Employee,Sell,2,"1,215",607.50
ITC Ltd,11/22/2019,SAMRAT BANERJEE,Insider - Employee,Sell,86,"21,328",248.00
Uttam Galva Steels Ltd,6/29/2021,ANKITA VISHAL SHAH,Bulk,Sell,1,5,5.35
Uttam Galva Steels Ltd,7/6/2021,PARTH INFIN BROKERS PVT. LTD.,Bulk,Buy,1,4,4.13
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,10,"21,953","2,195.30"
Larsen & Toubro Ltd,3/22/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,10,"22,191","2,219.10"
Larsen & Toubro Ltd,2/17/2023,AKASH JAIN,Insider - Designated Person,Sell,10,"22,250","2,225.00"
Larsen & Toubro Ltd,1/18/2021,SANDEEP DIPANKAR,Insider - Designated Person,Buy,10,"13,371","1,337.10"
Larsen & Toubro Ltd,1/29/2021,SANDEEP DIPANKAR,Insider - Designated Person,Buy,10,"13,367","1,336.70"
Larsen & Toubro Ltd,1/19/2021,SANDEEP DIPANKAR,Insider - Designated Person,Sell,10,"13,651","1,365.10"
Larsen & Toubro Ltd,10/26/2018,GAGANDEEP KAUR,Insider - Immediate Relative,Buy,10,"12,052","1,205.20"
Larsen & Toubro Ltd,11/28/2018,GAGANDEEP KAUR,Insider - Immediate Relative,Sell,10,"14,157","1,415.70"
UltraTech Cement Ltd,7/8/2019,Birla Group Holdings Private Limited,Insider - Promoter,Buy,2,168,84.00
Eicher Motors Ltd,3/6/2018,Samrat Som,Insider - Employee,Sell,2,"55,400","27,700.00"
Surana Telecom and Power Ltd,9/30/2017,Narender Surana,Insider - Promoter & Director,Buy,1,5,5.00
Yes Bank Ltd,9/12/2018,Shiva Lodhi,Insider - Employee,Buy,17,"5,323",313.12
Star Housing Finance Ltd,3/21/2023,Nirmal Kumar Jain,Insider - Promoter,Sell,1,46,46.00
Star Housing Finance Ltd,5/5/2023,Nirmal Kumar Jain,Insider - Promoter,Sell,1,47,47.00
Jubilant Foodworks Ltd,9/3/2018,PUSHKAR MALHOTRA,Insider - Designated Person,Sell,1,"1,551","1,551.00"
Tata Consultancy Services Ltd,11/6/2020,Arun Kumar Malik,Insider - Immediate Relative,Buy,29,"78,453","2,705.28"
Wipro Ltd,8/9/2016,Keyur Maniar,Insider - Employee,Sell,51,"28,050",550.00
Housing Development Finance Corporation Ltd,11/5/2018,C L SRILEKHA,Insider - Employee,Sell,13,"23,144","1,780.31"
Reliance Industries Ltd,9/5/2020,Sanjeev Vijayvargia,Insider - Designated Person,Sell,50,1.10 L,"2,190.00"
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,11,"24,151","2,195.55"
RBL Bank Ltd,8/31/2020,PALLAV SINHA,Insider - Designated Person,Sell,4,784,196.00
Reliance Capital Ltd,6/28/2021,MANSI SHARES & STOCK ADVISORS PVT LTD,Bulk,Sell,2,51,25.65
Samvardhana Motherson International Ltd,11/1/2018,ALOK GOEL,Insider - KMP,Buy,25,"4,383",175.32
Indian Infotech and Software Ltd,7/30/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,8,11,1.46
Crompton Greaves Consumer Electricals Ltd,11/11/2019,SHAJI ABRAHAM,Insider - Designated Person,Sell,5,"1,291",258.20
HDFC Bank Ltd,11/24/2015,Suraj Rangnekar,Insider - Employee,Sell,40,"42,000","1,050.00"
Tata Consultancy Services Ltd,5/28/2020,Sukanya Lakshminarayanan,Insider - Designated Person,Buy,30,"59,794","1,993.13"
Rollatainers Ltd,10/8/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,2,5,2.63
RITES Ltd,7/2/2018,Pawan Kr. Mishra,Insider - Employee,Sell,2,443,221.50
Johnson Pharmacare Ltd,1/5/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,2,0.74
RITES Ltd,7/17/2018,Pawan Kr. Mishra,Insider - Employee,Buy,2,389,194.70
Johnson Pharmacare Ltd,2/4/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,5,1.38
Ashika Credit Capital Ltd,11/6/2017,INDRA PRATAP SINGH (HUF),Bulk,Sell,5,134,26.90
Reliance Naval and Engineering Ltd,5/18/2020,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,6,6,1.06
Housing Development Finance Corporation Ltd,8/7/2017,DUTTA DIPTA,Insider - Employee,Sell,13,"22,441","1,726.23"
ITC Ltd,9/25/2018,SURJEET SINGH RORIA,Insider - Employee,Sell,100,"30,075",300.75
ITC Ltd,4/19/2018,DHANANJOY SAMANTA,Insider - Employee,Sell,100,"27,770",277.70
ITC Ltd,8/3/2018,R. RAJASEKHAR,Insider - Employee,Sell,100,"30,424",304.24
ITC Ltd,1/11/2019,HARIT SHROFF,Insider - Employee,Sell,100,"29,498",294.98
ITC Ltd,8/13/2018,RAJESH AGARWAL,Insider - Employee,Sell,100,"30,625",306.25
ITC Ltd,7/25/2018,D. JOHN ROBERT,Insider - Employee,Sell,100,"28,600",286.00
ITC Ltd,8/2/2018,D. JOHN ROBERT,Insider - Employee,Sell,100,"30,115",301.15
ITC Ltd,8/10/2018,HARIT SHROFF,Insider - Employee,Sell,100,"30,650",306.50
ITC Ltd,9/10/2018,MADHUSUDHANA RAO TUNUGUNTLA,Insider - Employee,Sell,100,"30,600",306.00
ITC Ltd,4/5/2018,ANMOL SINGH GREWAL,Insider - Employee,Sell,100,"25,870",258.70
ITC Ltd,8/17/2018,MADHUSUDHANA RAO TUNUGUNTLA,Insider - Employee,Sell,100,"31,500",315.00
ITC Ltd,8/14/2018,R. RAJASEKHAR,Insider - Employee,Sell,100,"30,922",309.22
ITC Ltd,8/20/2018,D. JOHN ROBERT,Insider - Employee,Sell,100,"31,400",314.00
ITC Ltd,2/28/2019,VIVEK PATNI,Insider - Employee,Sell,100,"27,575",275.75
ITC Ltd,3/11/2019,SANJEEV K. NAYAR,Insider - Employee,Sell,100,"29,312",293.12
ITC Ltd,3/11/2019,D. JOHN ROBERT,Insider - Employee,Sell,100,"29,300",293.00
ITC Ltd,8/6/2018,D. JOHN ROBERT,Insider - Employee,Sell,100,"30,525",305.25
ITC Ltd,8/17/2018,R. RAJASEKHAR,Insider - Employee,Sell,100,"31,421",314.21
ITC Ltd,1/11/2019,V.V. SUBRAMANYAM,Insider - Employee,Sell,100,"29,600",296.00
ITC Ltd,8/9/2018,DHANANJOY SAMANTA,Insider - Employee,Sell,100,"30,450",304.50
ITC Ltd,8/17/2018,RAMASAMY SAMBASIVAM ANNADURAI,Insider - Employee,Sell,100,"31,365",313.65
ITC Ltd,4/2/2018,DHANANJOY SAMANTA,Insider - Employee,Sell,100,"25,800",258.00
ITC Ltd,3/12/2019,SANJEEV K. NAYAR,Insider - Employee,Sell,100,"29,412",294.12
ITC Ltd,3/20/2019,PRASHANT MISHRA,Insider - Employee,Sell,100,"30,000",300.00
ITC Ltd,1/9/2018,D. JOHN ROBERT,Insider - Employee,Sell,100,"26,800",268.00
ITC Ltd,7/19/2017,KHALID HUSAIN KHAN,Insider - Employee,Sell,100,"28,942",289.42
ITC Ltd,1/18/2018,SURJEET SINGH RORIA,Insider - Employee,Sell,100,"27,215",272.15
ITC Ltd,3/13/2018,SURJEET SINGH RORIA,Insider - Employee,Sell,100,"27,040",270.40
ITC Ltd,1/15/2018,Hitesh Jain,Insider - Employee,Sell,100,"27,000",270.00
ITC Ltd,1/8/2018,D. JOHN ROBERT,Insider - Employee,Sell,100,"26,600",266.00
ITC Ltd,1/31/2017,D. John Robert,Insider - Employee,Sell,100,"25,850",258.50
Kwality Ltd,11/2/2018,SWAPNIL MEHTA,Bulk,Sell,2,12,6.23
Mahindra and Mahindra Ltd,11/22/2017,Rajesh Upadhyay,Insider - Employee,Sell,9,1.65 L,"18,340.37"
Housing Development Finance Corporation Ltd,2/24/2022,VENKATESHWARAN N,Insider - Designated Person,Sell,15,"35,184","2,345.60"
Housing Development Finance Corporation Ltd,2/23/2022,VENKATESHWARAN N,Insider - Designated Person,Sell,15,"36,630","2,442.00"
Housing Development Finance Corporation Ltd,3/9/2022,VENKATESHWARAN N,Insider - Designated Person,Sell,15,"32,580","2,172.00"
MFL India Ltd,12/6/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,3,1,0.58
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,5,"7,449","1,489.80"
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,5,"7,448","1,489.60"
Indusind Bank Ltd,2/21/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,5,"7,397","1,479.40"
Bajaj Finance Ltd,2/17/2021,Shri Digesh Dave,Insider - Designated Person,Sell,5,"28,675","5,735.00"
Bajaj Finance Ltd,3/10/2021,Shri Digesh Dave,Insider - Designated Person,Sell,5,"27,800","5,560.00"
Bajaj Finance Ltd,3/16/2021,Shri Digesh Dave,Insider - Designated Person,Sell,5,"27,476","5,495.20"
Reliance Industries Ltd,3/23/2020,Ritesh Shiyal,Insider - Designated Person,Buy,50,"46,250",925.00
Reliance Industries Ltd,6/12/2018,Sanjeev Moreshwar Dandekar,Insider - Employee,Sell,50,"49,950",999.00
Reliance Industries Ltd,1/25/2019,Sanjeev Vijayvargia,Insider - Other,Sell,50,"62,350","1,247.00"
Reliance Industries Ltd,1/30/2019,Sanjeev Vijayvargia,Insider - Other,Sell,50,"62,350","1,247.00"
Reliance Industries Ltd,6/15/2018,Pankaj Kumar Shrivastava,Insider - Designated Person,Sell,50,"51,100","1,022.00"
